Period,Date,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Savings Value Change,Savings Return,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Rate,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return Rate
73,01/29/2030,2100.0,1263.04,65847.83,836.96,66004.25,156.42,0.0,129964.72,6412.22,836.96,137213.89,7249.18,0.06,30662.14,0.18,195812.55,203218.14,7405.59,0.04
74,02/28/2030,2100.0,1281.99,66004.25,818.01,66160.67,156.42,0.0,137213.89,-579.32,818.01,137452.59,238.69,0.0,30082.82,-0.02,203218.14,203613.25,395.11,0.0
75,03/30/2030,1665.0,1242.71,66160.67,422.29,66317.08,156.42,0.0,137452.59,-7827.52,422.29,130047.36,-7405.23,-0.05,22255.29,-0.27,203613.25,196364.44,-7248.81,-0.04
76,04/29/2030,1665.0,1242.71,66317.08,422.29,66473.5,156.42,0.0,130047.36,651.48,422.29,131121.13,1073.77,0.01,22906.77,-0.25,196364.44,197594.63,1230.19,0.01
77,05/29/2030,1665.0,1242.71,66473.5,422.29,66629.92,156.42,0.0,131121.13,8746.46,422.29,140289.88,9168.75,0.07,31653.23,0.03,197594.63,206919.8,9325.17,0.05
78,06/28/2030,1665.0,1242.71,66629.92,422.29,66786.33,156.42,0.0,140289.88,-662.57,422.29,140049.61,-240.27,-0.0,30990.67,-0.02,206919.8,206835.95,-83.85,-0.0
79,07/28/2030,1665.0,1242.71,66786.33,422.29,66942.75,156.42,0.0,140049.61,-3093.59,422.29,137378.32,-2671.3,-0.02,27897.08,-0.12,206835.95,204321.07,-2514.88,-0.01
80,08/27/2030,1665.0,1242.71,66942.75,422.29,67099.17,156.42,0.0,137378.32,-4465.46,422.29,133335.16,-4043.16,-0.03,23431.62,-0.26,204321.07,200434.33,-3886.74,-0.02
81,09/26/2030,1665.0,1242.71,67099.17,422.29,67255.58,156.42,0.0,133335.16,-3677.57,422.29,130079.89,-3255.27,-0.02,19754.05,-0.38,200434.33,197335.47,-3098.86,-0.02
82,10/26/2030,1665.0,1242.71,67255.58,422.29,67412.0,156.42,0.0,130079.89,-243.09,422.29,130259.09,179.21,0.0,19510.96,-0.38,197335.47,197671.09,335.62,0.0
83,11/25/2030,1665.0,1242.71,67412.0,422.29,67568.42,156.42,0.0,130259.09,-4173.25,422.29,126508.13,-3750.96,-0.03,15337.71,-0.52,197671.09,194076.55,-3594.54,-0.02
84,12/25/2030,3915.0,1242.71,67568.42,2672.29,67724.83,156.42,0.0,126508.13,7562.88,2672.29,136743.31,10235.18,0.08,22900.59,-0.28,194076.55,204468.14,10391.59,0.05
85,01/24/2031,1665.0,1242.71,67724.83,422.29,67881.25,156.42,0.0,136743.31,-173.21,422.29,136992.4,249.09,0.0,22727.39,-0.28,204468.14,204873.65,405.51,0.0
86,02/23/2031,1665.0,1261.35,67881.25,403.65,68037.67,156.42,0.0,136992.4,1664.61,403.65,139060.66,2068.26,0.02,24391.99,-0.23,204873.65,207098.32,2224.68,0.01
87,03/25/2031,2257.5,1248.45,68037.67,1009.05,68194.08,156.42,0.0,139060.66,8030.04,1009.05,148099.75,9039.09,0.07,32422.03,0.02,207098.32,216293.84,9195.51,0.04
88,04/24/2031,2257.5,1248.45,68194.08,1009.05,68350.5,156.42,0.0,148099.75,8882.51,1009.05,157991.32,9891.56,0.07,41304.54,0.27,216293.84,226341.82,10047.98,0.05
89,05/24/2031,2257.5,1248.45,68350.5,1009.05,68506.92,156.42,0.0,157991.32,178.59,1009.05,159178.97,1187.65,0.01,41483.14,0.0,226341.82,227685.88,1344.07,0.01
90,06/23/2031,2257.5,1248.45,68506.92,1009.05,68663.33,156.42,0.0,159178.97,3153.22,1009.05,163341.24,4162.28,0.03,44636.36,0.08,227685.88,232004.57,4318.69,0.02
91,07/23/2031,2257.5,1248.45,68663.33,1009.05,68819.75,156.42,0.0,163341.24,5493.26,1009.05,169843.56,6502.32,0.04,50129.62,0.12,232004.57,238663.31,6658.73,0.03
92,08/22/2031,2257.5,1248.45,68819.75,1009.05,68976.17,156.42,0.0,169843.56,307.76,1009.05,171160.37,1316.82,0.01,50437.38,0.01,238663.31,240136.54,1473.23,0.01
93,09/21/2031,2257.5,1248.45,68976.17,1009.05,69132.58,156.42,0.0,171160.37,-8993.71,1009.05,163175.72,-7984.66,-0.05,41443.67,-0.18,240136.54,232308.3,-7828.24,-0.03
94,10/21/2031,2257.5,1248.45,69132.58,1009.05,69289.0,156.42,0.0,163175.72,5038.26,1009.05,169223.03,6047.31,0.04,46481.93,-0.08,232308.3,238512.03,6203.73,0.03
95,11/20/2031,2257.5,1248.45,69289.0,1009.05,69445.42,156.42,0.0,169223.03,6615.62,1009.05,176847.71,7624.68,0.05,53097.55,0.05,238512.03,246293.12,7781.1,0.03
96,12/20/2031,4507.5,1248.45,69445.42,3259.05,69601.83,156.42,0.0,176847.71,4009.77,3259.05,184116.53,7268.83,0.04,57107.33,0.08,246293.12,253718.37,7425.25,0.03
97,01/19/2032,2257.5,1248.45,69601.83,1009.05,69758.25,156.42,0.0,184116.53,-4279.69,1009.05,180845.9,-3270.63,-0.02,52827.64,-0.07,253718.37,250604.15,-3114.22,-0.01
98,02/18/2032,2257.5,1267.17,69758.25,990.33,69914.67,156.42,0.0,180845.9,308.03,990.33,182144.26,1298.36,0.01,53135.67,-0.07,250604.15,252058.92,1454.77,0.01
99,03/19/2032,2257.5,1267.17,69914.67,990.33,70071.08,156.42,0.0,182144.26,-2155.33,990.33,180979.26,-1165.0,-0.01,50980.34,-0.11,252058.92,251050.34,-1008.58,-0.0
100,04/18/2032,2257.5,1267.17,70071.08,990.33,70227.5,156.42,0.0,180979.26,-335.21,990.33,181634.37,655.12,0.0,50645.13,-0.11,251050.34,251861.87,811.53,0.0
101,05/18/2032,2257.5,1267.17,70227.5,990.33,70383.92,156.42,0.0,181634.37,9608.02,990.33,192232.73,10598.35,0.06,60253.15,0.06,251861.87,262616.64,10754.77,0.04
